"count_id","date","month","season","day_type","stop_id","stop_name","stop_sequence","arrival_time","departure_time","stop_minutes","inclusion_prob","frame_size","anglers_count","weather","surveyor"
"20240612_Stop_A",2024-06-12,"Jun","summer","weekday","Stop_A","Bridge Access North",1,2024-06-12 10:00:00,2024-06-12 10:03:00,3,0.385026737967914,40,0,"clear","Route_Team_1"
"20240703_Stop_A",2024-07-03,"Jul","summer","weekday","Stop_A","Bridge Access North",1,2024-07-03 10:00:00,2024-07-03 10:03:00,3,0.385026737967914,40,0,"clear","Route_Team_1"
"20240621_Stop_A",2024-06-21,"Jun","summer","weekday","Stop_A","Bridge Access North",1,2024-06-21 10:00:00,2024-06-21 10:03:00,3,0.385026737967914,40,0,"clear","Route_Team_1"
"20240708_Stop_A",2024-07-08,"Jul","summer","weekday","Stop_A","Bridge Access North",1,2024-07-08 10:00:00,2024-07-08 10:03:00,3,0.385026737967914,40,0,"clear","Route_Team_1"
"20240614_Stop_A",2024-06-14,"Jun","summer","weekday","Stop_A","Bridge Access North",1,2024-06-14 10:00:00,2024-06-14 10:03:00,3,0.385026737967914,40,2,"clear","Route_Team_1"
"20240612_Stop_B",2024-06-12,"Jun","summer","weekday","Stop_B","Dam Tailwater",2,2024-06-12 10:08:00,2024-06-12 10:12:00,4,0.558823529411765,50,0,"clear","Route_Team_1"
"20240719_Stop_B",2024-07-19,"Jul","summer","weekday","Stop_B","Dam Tailwater",2,2024-07-19 10:08:00,2024-07-19 10:12:00,4,0.558823529411765,50,2,"light_rain","Route_Team_1"
"20240619_Stop_B",2024-06-19,"Jun","summer","weekday","Stop_B","Dam Tailwater",2,2024-06-19 10:08:00,2024-06-19 10:12:00,4,0.558823529411765,50,0,"clear","Route_Team_1"
"20240703_Stop_B",2024-07-03,"Jul","summer","weekday","Stop_B","Dam Tailwater",2,2024-07-03 10:08:00,2024-07-03 10:12:00,4,0.558823529411765,50,1,"clear","Route_Team_1"
"20240628_Stop_B",2024-06-28,"Jun","summer","weekday","Stop_B","Dam Tailwater",2,2024-06-28 10:08:00,2024-06-28 10:12:00,4,0.558823529411765,50,0,"clear","Route_Team_1"
"20240617_Stop_B",2024-06-17,"Jun","summer","weekday","Stop_B","Dam Tailwater",2,2024-06-17 10:08:00,2024-06-17 10:12:00,4,0.558823529411765,50,0,"light_rain","Route_Team_1"
"20240607_Stop_B",2024-06-07,"Jun","summer","weekday","Stop_B","Dam Tailwater",2,2024-06-07 10:08:00,2024-06-07 10:12:00,4,0.558823529411765,50,0,"cloudy","Route_Team_1"
"20240726_Stop_B",2024-07-26,"Jul","summer","weekday","Stop_B","Dam Tailwater",2,2024-07-26 10:08:00,2024-07-26 10:12:00,4,0.558823529411765,50,0,"clear","Route_Team_1"
"20240708_Stop_B",2024-07-08,"Jul","summer","weekday","Stop_B","Dam Tailwater",2,2024-07-08 10:08:00,2024-07-08 10:12:00,4,0.558823529411765,50,0,"clear","Route_Team_1"
"20240612_Stop_C",2024-06-12,"Jun","summer","weekday","Stop_C","County Park",3,2024-06-12 10:16:00,2024-06-12 10:21:00,5,0.8,80,1,"clear","Route_Team_1"
"20240717_Stop_C",2024-07-17,"Jul","summer","weekday","Stop_C","County Park",3,2024-07-17 10:16:00,2024-07-17 10:21:00,5,0.8,80,0,"clear","Route_Team_1"
"20240719_Stop_C",2024-07-19,"Jul","summer","weekday","Stop_C","County Park",3,2024-07-19 10:16:00,2024-07-19 10:21:00,5,0.8,80,1,"clear","Route_Team_1"
"20240703_Stop_C",2024-07-03,"Jul","summer","weekday","Stop_C","County Park",3,2024-07-03 10:16:00,2024-07-03 10:21:00,5,0.8,80,0,"clear","Route_Team_1"
"20240610_Stop_C",2024-06-10,"Jun","summer","weekday","Stop_C","County Park",3,2024-06-10 10:16:00,2024-06-10 10:21:00,5,0.8,80,0,"cloudy","Route_Team_1"
"20240715_Stop_C",2024-07-15,"Jul","summer","weekday","Stop_C","County Park",3,2024-07-15 10:16:00,2024-07-15 10:21:00,5,0.8,80,0,"clear","Route_Team_1"
"20240628_Stop_C",2024-06-28,"Jun","summer","weekday","Stop_C","County Park",3,2024-06-28 10:16:00,2024-06-28 10:21:00,5,0.8,80,1,"clear","Route_Team_1"
"20240724_Stop_C",2024-07-24,"Jul","summer","weekday","Stop_C","County Park",3,2024-07-24 10:16:00,2024-07-24 10:21:00,5,0.8,80,1,"clear","Route_Team_1"
"20240626_Stop_C",2024-06-26,"Jun","summer","weekday","Stop_C","County Park",3,2024-06-26 10:16:00,2024-06-26 10:21:00,5,0.8,80,0,"light_rain","Route_Team_1"
"20240617_Stop_C",2024-06-17,"Jun","summer","weekday","Stop_C","County Park",3,2024-06-17 10:16:00,2024-06-17 10:21:00,5,0.8,80,0,"cloudy","Route_Team_1"
"20240722_Stop_C",2024-07-22,"Jul","summer","weekday","Stop_C","County Park",3,2024-07-22 10:16:00,2024-07-22 10:21:00,5,0.8,80,1,"light_rain","Route_Team_1"
"20240607_Stop_C",2024-06-07,"Jun","summer","weekday","Stop_C","County Park",3,2024-06-07 10:16:00,2024-06-07 10:21:00,5,0.8,80,1,"clear","Route_Team_1"
"20240726_Stop_C",2024-07-26,"Jul","summer","weekday","Stop_C","County Park",3,2024-07-26 10:16:00,2024-07-26 10:21:00,5,0.8,80,3,"clear","Route_Team_1"
"20240621_Stop_C",2024-06-21,"Jun","summer","weekday","Stop_C","County Park",3,2024-06-21 10:16:00,2024-06-21 10:21:00,5,0.8,80,0,"clear","Route_Team_1"
"20240614_Stop_C",2024-06-14,"Jun","summer","weekday","Stop_C","County Park",3,2024-06-14 10:16:00,2024-06-14 10:21:00,5,0.8,80,0,"clear","Route_Team_1"
"20240612_Stop_D",2024-06-12,"Jun","summer","weekday","Stop_D","Marina Cove",4,2024-06-12 10:24:00,2024-06-12 10:28:00,4,0.579185520361991,60,1,"clear","Route_Team_1"
"20240715_Stop_D",2024-07-15,"Jul","summer","weekday","Stop_D","Marina Cove",4,2024-07-15 10:24:00,2024-07-15 10:28:00,4,0.579185520361991,60,1,"clear","Route_Team_1"
"20240724_Stop_D",2024-07-24,"Jul","summer","weekday","Stop_D","Marina Cove",4,2024-07-24 10:24:00,2024-07-24 10:28:00,4,0.579185520361991,60,0,"clear","Route_Team_1"
"20240626_Stop_D",2024-06-26,"Jun","summer","weekday","Stop_D","Marina Cove",4,2024-06-26 10:24:00,2024-06-26 10:28:00,4,0.579185520361991,60,0,"clear","Route_Team_1"
"20240617_Stop_D",2024-06-17,"Jun","summer","weekday","Stop_D","Marina Cove",4,2024-06-17 10:24:00,2024-06-17 10:28:00,4,0.579185520361991,60,0,"cloudy","Route_Team_1"
"20240607_Stop_D",2024-06-07,"Jun","summer","weekday","Stop_D","Marina Cove",4,2024-06-07 10:24:00,2024-06-07 10:28:00,4,0.579185520361991,60,0,"clear","Route_Team_1"
"20240605_Stop_D",2024-06-05,"Jun","summer","weekday","Stop_D","Marina Cove",4,2024-06-05 10:24:00,2024-06-05 10:28:00,4,0.579185520361991,60,1,"light_rain","Route_Team_1"
"20240619_Stop_E",2024-06-19,"Jun","summer","weekday","Stop_E","Rocky Point",5,2024-06-19 10:32:00,2024-06-19 10:34:00,2,0.0588235294117647,25,0,"cloudy","Route_Team_1"
"20240607_Stop_E",2024-06-07,"Jun","summer","weekday","Stop_E","Rocky Point",5,2024-06-07 10:32:00,2024-06-07 10:34:00,2,0.0588235294117647,25,0,"light_rain","Route_Team_1"
"20240612_Stop_F",2024-06-12,"Jun","summer","weekday","Stop_F","Quiet Bay",6,2024-06-12 10:40:00,2024-06-12 10:43:00,3,0.125490196078431,30,0,"clear","Route_Team_1"
"20240610_Stop_F",2024-06-10,"Jun","summer","weekday","Stop_F","Quiet Bay",6,2024-06-10 10:40:00,2024-06-10 10:43:00,3,0.125490196078431,30,0,"clear","Route_Team_1"
"20240621_Stop_F",2024-06-21,"Jun","summer","weekday","Stop_F","Quiet Bay",6,2024-06-21 10:40:00,2024-06-21 10:43:00,3,0.125490196078431,30,1,"cloudy","Route_Team_1"
"20240729_Stop_F",2024-07-29,"Jul","summer","weekday","Stop_F","Quiet Bay",6,2024-07-29 10:40:00,2024-07-29 10:43:00,3,0.125490196078431,30,0,"clear","Route_Team_1"
"20240607_Stop_G",2024-06-07,"Jun","summer","weekday","Stop_G","Highway Pulloff",7,2024-06-07 10:48:00,2024-06-07 10:50:00,2,0.0988235294117647,20,0,"clear","Route_Team_1"
"20240612_Stop_H",2024-06-12,"Jun","summer","weekday","Stop_H","Creek Confluence",8,2024-06-12 10:56:00,2024-06-12 10:59:00,3,0.302521008403361,45,0,"clear","Route_Team_1"
"20240717_Stop_H",2024-07-17,"Jul","summer","weekday","Stop_H","Creek Confluence",8,2024-07-17 10:56:00,2024-07-17 10:59:00,3,0.302521008403361,45,1,"clear","Route_Team_1"
"20240719_Stop_H",2024-07-19,"Jul","summer","weekday","Stop_H","Creek Confluence",8,2024-07-19 10:56:00,2024-07-19 10:59:00,3,0.302521008403361,45,0,"clear","Route_Team_1"
"20240703_Stop_H",2024-07-03,"Jul","summer","weekday","Stop_H","Creek Confluence",8,2024-07-03 10:56:00,2024-07-03 10:59:00,3,0.302521008403361,45,0,"light_rain","Route_Team_1"
"20240715_Stop_H",2024-07-15,"Jul","summer","weekday","Stop_H","Creek Confluence",8,2024-07-15 10:56:00,2024-07-15 10:59:00,3,0.302521008403361,45,0,"cloudy","Route_Team_1"
"20240722_Stop_H",2024-07-22,"Jul","summer","weekday","Stop_H","Creek Confluence",8,2024-07-22 10:56:00,2024-07-22 10:59:00,3,0.302521008403361,45,0,"cloudy","Route_Team_1"
"20240729_Stop_H",2024-07-29,"Jul","summer","weekday","Stop_H","Creek Confluence",8,2024-07-29 10:56:00,2024-07-29 10:59:00,3,0.302521008403361,45,0,"cloudy","Route_Team_1"
"20240614_Stop_H",2024-06-14,"Jun","summer","weekday","Stop_H","Creek Confluence",8,2024-06-14 10:56:00,2024-06-14 10:59:00,3,0.302521008403361,45,0,"light_rain","Route_Team_1"
